label,V1,V2,V3,V4,V5,V6,V7
Recruitment,environ,paper,recruit,appeal,select,cohes,behavior
Canada,canada,canadian,thesi,labour,constitut,feder,german
Ethnic Groups,ident,latino,ethnic,identif,mobil,attitud,group
Political Theory,moral,thought,ethic,virtu,life,human,philosophi
Terrorism,attack,model,terrorist,target,threat,game,measur
Regional Politics,region,european,integr,latin,transport,trade,america
Military and Police,offic,polic,school,interview,review,staff,field
Human Development,right,incom,human,growth,inequ,econom,sanction
Social Movements,movement,network,activist,organ,social,protest,mobil
Finance,exploit,coordin,neoliber,space,procedur,constitut,crisi
Bureaucracy,agenc,bureaucrat,bureaucraci,enforc,regul,administr,regulatori
Political Attitudes,communic,onlin,messag,internet,inform,televis,knowledg
Healthcare,care,health,reform,medic,law,adopt,access
Personal Judgment,individu,good,judgment,peopl,qualiti,subject,experiment
Minority Participation,minor,indian,behavior,american,aggress,counti,empower
Campaigns,campaign,candid,consult,voter,elect,primari,presidenti
Transitions,allianc,transit,communist,europ,post-communist,eastern,transform
Presidential Action,presid,frame,presidenti,agenda,issu,press,speech
Repression & Violence,violenc,ethnic,insurg,civil,repress,violent,war
Technological Capacity,china,chines,technolog,water,aid,foreign,enterpris
Judicial Politics,judici,court,judg,complianc,legal,execut,decis
Congress,congress,committe,bill,legisl,congression,hous,senat
Citizen Engagement,delib,particip,participatori,citizen,civic,deliber,engag
Voting,vote,voter,choic,turnout,elect,elector,chapter
Citizenship/National Identity,citizenship,justic,religi,global,turkey,duti,religion
State Capacity,south,korea,africa,decentr,african,taiwan,consolid
Parties,parti,elector,faction,competit,system,domin,ideolog
Corruption,corrupt,countri,variabl,quantit,cross-nat,cross-sect,regress
Environmental Politics,environment,program,climat,scienc,scientif,sustain,paradigm
Local/Urban politics,communiti,citi,urban,neighborhood,resid,local,civic
Non-Democracies/New Democracies,regim,authoritarian,opposit,leader,dictat,rule,patronag
Security,secur,transnat,migrat,border,brazil,physic,boundari
Land,land,agricultur,industri,sector,economi,rural,oil
Public Opinion,public,opinion,crime,mass,fear,poll,assess
Culture/Values,role,play,valu,cultur,univers,american,approach
Narrative/Discourse,narrat,stori,young,victim,discours,histori,symbol
Political Trust,institut,trust,perform,democraci,polit,across,level
Public Goods/Services,board,servic,provis,deliveri,educ,voluntari,contact
Interstate War,terror,war,terrorist,oper,likelihood,theori,novel
Bargaining,polici,coalit,chang,outcom,player,decis,shift
Federalism,plan,local,collabor,govern,feder,intergovernment,implement
Legitimacy,oblig,liber,legitimaci,action,normat,affirm,reason
State Politics,state,unit,adopt,governor,feder,variabl,determin
Political Psychology,emot,attitud,survey,citizen,sophist,belief,psycholog
Partisanship,partisan,polar,elector,elect,incumb,district,advantag
Foreign Policy,militari,innov,doctrin,capabl,forc,intellig,civilian
Immigration,immigr,migrant,restrict,skill,incorpor,respons,enforc
Race/Gender,women,gender,black,racial,white,poverti,race
Disputes,mediat,disput,cost,formal,inform,predict,incent
Critical Theory,critic,modern,conting,contemporari,theori,conceptu,theoret
Fiscal Policy,tax,properti,redistribut,fiscal,revenu,cost,spend
Representation,represent,constitu,style,repres,attribut,home,member
Media,media,news,prime,coverag,approv,issu,messag
Labor,labor,market,busi,firm,economi,union,global
Interest Groups,group,interest,lobbi,activ,strategi,advocaci,organiz
Spending,welfar,fund,safeti,health,risk,spend,program
Civil Conflict,conflict,domest,intern,peac,territori,threat,rival
Freedom,societi,democrat,freedom,civil,democraci,liberti,liber
History,norm,indigen,coloni,histor,financi,right,japanes
International Political Economy,bank,invest,foreign,monetari,trade,financi,investor
Branches of Government,legislatur,execut,branch,profession,california,membership,legisl
